volume,file_name,type_guess,name_guess,school_guess,score_guess,notes
vol1,001.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0010.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00100.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00101.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00102.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00103.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00104.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00105.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00106.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00107.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00108.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00109.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0011.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00110.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00111.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00112.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00113.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00114.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00115.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00116.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00117.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00118.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00119.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0012.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00120.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00121.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00122.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00123.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00124.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00125.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00126.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00127.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00128.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00129.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0013.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00130.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00131.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00132.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00133.jpg,unreviewed_case,,,,requires manual/next-pass classification
vol1,00134.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00135.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00136.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00137.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00138.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00139.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0014.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00140.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00141.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00142.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00143.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00144.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00145.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00146.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00147.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00148.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00149.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0015.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00150.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00151.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00152.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00153.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00154.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00155.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00156.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00157.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00158.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00159.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0016.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00160.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00161.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00162.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00163.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00164.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00165.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00166.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00167.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00168.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00169.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0017.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00170.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00171.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00172.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00173.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00174.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00175.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00176.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00177.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00178.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00179.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0018.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00180.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00181.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00182.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00183.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00184.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00185.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00186.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00187.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00188.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00189.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0019.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00190.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00191.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00192.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00193.jpg,unreviewed_case,,,,requires manual/next-pass classification
vol1,00194.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,00195.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,002.1.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,002.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0020.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0021.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0022.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0023.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0024.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0025.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0026.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0027.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0028.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0029.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,003.jpg,unreviewed_case,,,,requires manual/next-pass classification
vol1,0030.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0031.jpg,unreviewed_case,,,,requires manual/next-pass classification
vol1,0032.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0033.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0034.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0035.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0036.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0037.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0038.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0039.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,004.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0040.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0041.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0042.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0043.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0044.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0045.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0046.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0047.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0048.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0049.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,005.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0050.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0051.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0052.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0053.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0054.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0055.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0056.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0057.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0058.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0059.webp,profile_page,KURIMURA AIRI,TRINITY,A,identified profile-page source
vol1,006.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0060.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0061.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0062.webp,profile_page,YUTORI NATSU,TRINITY,A,identified profile-page source
vol1,0063.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0064.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0065.webp,profile_page,SUMI SERINA,TRINITY,A,identified profile-page source
vol1,0066.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0067.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0068.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0069.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,007.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0070.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0071.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0072.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0073.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0074.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0075.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0076.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0077.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0078.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0079.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,008.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0080.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0081.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0082.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0083.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0084.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0085.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0086.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0087.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0088.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0089.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,009.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0090.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0091.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0092.webp,unreviewed_case,,,,requires manual/next-pass classification
vol1,0093.webp,unreviewed_case,,,,requires manual/next-pass classification
