page,file_name,category,learning_value_score
1,001.webp,front_matter,25
2,002.webp,front_matter,25
3,003.webp,front_matter,25
4,004.webp,front_matter,25
5,005.webp,illustration_key_visual,90
6,006.webp,illustration_key_visual,90
7,007.webp,illustration_key_visual,90
8,008.webp,illustration_key_visual,90
9,009.webp,illustration_key_visual,90
10,0010.webp,illustration_key_visual,90
11,0011.webp,illustration_key_visual,90
12,0012.webp,illustration_key_visual,90
13,0013.webp,illustration_key_visual,90
14,0014.webp,illustration_key_visual,90
15,0015.webp,illustration_key_visual,90
16,0016.webp,illustration_key_visual,90
17,0017.webp,section_header,20
18,0018.webp,character_profile,94
19,0019.webp,character_profile,94
20,0020.webp,character_profile,94
21,0021.webp,character_profile,94
22,0022.webp,character_profile,94
23,0023.webp,character_profile,94
24,0024.webp,character_profile,94
25,0025.webp,character_profile,94
26,0026.webp,character_profile,94
27,0027.webp,character_profile,94
28,0028.webp,character_profile,94
29,0029.webp,character_profile,94
30,0030.webp,character_profile,94
31,0031.webp,character_profile,94
32,0032.webp,character_profile,94
33,0033.webp,character_profile,94
34,0034.webp,character_profile,94
35,0035.webp,character_profile,94
36,0036.webp,character_profile,94
37,0037.webp,character_profile,94
38,0038.webp,character_profile,94
39,0039.webp,character_profile,94
40,0040.webp,character_profile,94
41,0041.webp,character_profile,94
42,0042.webp,character_profile,94
43,0043.webp,character_profile,94
44,0044.webp,character_profile,94
45,0045.webp,character_profile,94
46,0046.webp,character_profile,94
47,0047.webp,character_profile,94
48,0048.webp,character_profile,94
49,0049.webp,character_profile,94
50,0050.webp,character_profile,94
51,0051.webp,character_profile,94
52,0052.webp,character_profile,94
53,0053.webp,character_profile,94
54,0054.webp,character_profile,94
55,0055.webp,character_profile,94
56,0056.webp,character_profile,94
57,0057.webp,character_profile,94
58,0058.webp,character_profile,94
59,0059.webp,character_profile,94
60,0060.webp,character_profile,94
61,0061.webp,extra_character_npc,78
62,0062.webp,extra_character_npc,78
63,0063.webp,extra_character_npc,78
64,0064.webp,extra_character_npc,78
65,0065.webp,extra_character_npc,78
66,0066.webp,extra_character_npc,78
67,0067.webp,extra_character_npc,78
68,0068.webp,extra_character_npc,78
69,0069.webp,extra_character_npc,78
70,0070.webp,extra_character_npc,78
71,0071.webp,extra_character_npc,78
72,0072.webp,extra_character_npc,78
73,0073.webp,extra_character_npc,78
74,0074.webp,extra_character_npc,78
75,0075.webp,extra_character_npc,78
76,0076.webp,extra_character_npc,78
77,0077.webp,extra_character_npc,78
78,0078.webp,extra_character_npc,78
79,0079.webp,section_header,20
80,0080.webp,memorial_lobby_final,93
81,0081.webp,memorial_lobby_final,93
82,0082.webp,memorial_lobby_final,93
83,0083.webp,memorial_lobby_final,93
84,0084.webp,memorial_lobby_final,93
85,0085.webp,memorial_lobby_final,93
86,0086.webp,memorial_lobby_final,93
87,0087.webp,memorial_lobby_final,93
88,0088.webp,memorial_lobby_final,93
89,0089.webp,memorial_lobby_final,93
90,0090.webp,memorial_lobby_final,93
91,0091.webp,memorial_lobby_final,93
92,0092.webp,memorial_lobby_final,93
93,0093.webp,memorial_lobby_final,93
94,0094.webp,memorial_lobby_final,93
95,0095.webp,memorial_lobby_final,93
96,0096.webp,memorial_lobby_final,93
97,0097.webp,memorial_lobby_final,93
98,0098.webp,memorial_lobby_final,93
99,0099.webp,memorial_lobby_final,93
