page,filename,section,asset_type,tier,selected,learning_focus,notes
001,01.jpg,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
002,02.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
003,03.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
004,04.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
005,05.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
006,06.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
007,07.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
008,08.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
009,09.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
010,010.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
011,011.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
012,012.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
013,013.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
014,014.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
015,015.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
016,016.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
017,017.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
018,018.webp,key_visual_and_promo,cover_or_key_visual,C,no,"Used mainly for franchise tone, key color, flagship monster image language, and marketing composition.",key visual / cover / promotional plate
